tinyurl	fail			<!DOCTYPE html><html lang="en-US"><head><title>Just a moment...</title><meta htt
zws.im	fail			
frama.link	fail			<html> <head> <title>301 Moved Permanently</title> </head> <body> <center> <h1>3
gg.gg	fail			<!DOCTYPE html> <html lang="ru"> <head> <meta charset="UTF-8
github-issue	fail			{ "message": "Bad credentials", "documentation_url": "https://docs.github.com/rest", "status": "4
github-wiki	fail			remote: Invalid username or token. Password authentication is not supported for Git operations.
fata
indexnow-generic	page	https://api.indexnow.org/indexnow?url=https%3A%2F%2Fvanguard.world&key=074b8db50cc83f0689a2211e3ff94db1		http-202
indexnow-seozoom	fail			http-000
hedgedoc-hedgedoc.envs.net	page	https://hedgedoc.envs.net/oJnCUVY-STOsqmnbBC6pTA	https://hedgedoc.envs.net/oJnCUVY-STOsqmnbBC6pTAdownload	post
hedgedoc-pad.nixnet.services	page	https://pad.nixnet.services/2zKPevkYSbmNIa74mxm62w	https://pad.nixnet.services/2zKPevkYSbmNIa74mxm62wdownload	post
